Use GPU: 0 for training
-> using alexnet
Epoch: [0][ 560/3615]	Time  7.054 ( 2.901)	Data  7.017 ( 2.844)	Loss 6.9095e+00 (6.9082e+00)	Acc@1   0.00 (  0.13)	Acc@5   0.39 (  0.68)
Epoch: [0][ 570/3615]	Time  0.075 ( 2.896)	Data  0.000 ( 2.839)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.13)	Acc@5   0.78 (  0.68)
Epoch: [0][ 580/3615]	Time  7.626 ( 2.904)	Data  7.586 ( 2.847)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.13)	Acc@5   0.78 (  0.69)
Epoch: [0][ 590/3615]	Time  0.072 ( 2.902)	Data  0.000 ( 2.845)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.13)	Acc@5   0.00 (  0.68)
Epoch: [0][ 600/3615]	Time  7.976 ( 2.907)	Data  7.931 ( 2.850)	Loss 6.9017e+00 (6.9081e+00)	Acc@1   0.78 (  0.14)	Acc@5   0.78 (  0.69)
Epoch: [0][ 610/3615]	Time  0.072 ( 2.900)	Data  0.000 ( 2.844)	Loss 6.9017e+00 (6.9081e+00)	Acc@1   0.78 (  0.14)	Acc@5   1.17 (  0.69)
Epoch: [0][ 620/3615]	Time  8.161 ( 2.906)	Data  8.123 ( 2.850)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.39 (  0.69)
Epoch: [0][ 630/3615]	Time  1.060 ( 2.899)	Data  1.024 ( 2.843)	Loss 6.9056e+00 (6.9081e+00)	Acc@1   0.39 (  0.14)	Acc@5   0.39 (  0.69)
Epoch: [0][ 640/3615]	Time  7.006 ( 2.904)	Data  6.970 ( 2.849)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.39 (  0.69)
Epoch: [0][ 650/3615]	Time  1.429 ( 2.899)	Data  1.393 ( 2.843)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.14)	Acc@5   1.56 (  0.69)
Epoch: [0][ 660/3615]	Time  7.285 ( 2.902)	Data  7.248 ( 2.847)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.39 (  0.69)
Epoch: [0][ 670/3615]	Time  0.957 ( 2.898)	Data  0.922 ( 2.844)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.78 (  0.69)
Epoch: [0][ 680/3615]	Time  7.209 ( 2.902)	Data  7.169 ( 2.848)	Loss 6.9056e+00 (6.9081e+00)	Acc@1   0.39 (  0.14)	Acc@5   1.56 (  0.69)
Epoch: [0][ 690/3615]	Time  2.355 ( 2.899)	Data  2.319 ( 2.845)	Loss 6.9056e+00 (6.9081e+00)	Acc@1   0.39 (  0.14)	Acc@5   1.17 (  0.69)
Epoch: [0][ 700/3615]	Time  6.039 ( 2.902)	Data  6.001 ( 2.848)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.14)	Acc@5   1.17 (  0.69)
Epoch: [0][ 710/3615]	Time  3.095 ( 2.902)	Data  3.058 ( 2.848)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.00 (  0.69)
Epoch: [0][ 720/3615]	Time  5.452 ( 2.902)	Data  5.415 ( 2.848)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.14)	Acc@5   1.17 (  0.69)
Epoch: [0][ 730/3615]	Time  1.715 ( 2.899)	Data  1.673 ( 2.846)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.39 (  0.69)
Epoch: [0][ 740/3615]	Time  6.140 ( 2.903)	Data  6.102 ( 2.850)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.39 (  0.69)
Epoch: [0][ 750/3615]	Time  2.751 ( 2.902)	Data  2.714 ( 2.849)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.14)	Acc@5   1.17 (  0.69)
Epoch: [0][ 760/3615]	Time  7.220 ( 2.904)	Data  7.183 ( 2.851)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.78 (  0.69)
Epoch: [0][ 770/3615]	Time  2.733 ( 2.900)	Data  2.696 ( 2.847)	Loss 6.9056e+00 (6.9081e+00)	Acc@1   0.39 (  0.14)	Acc@5   0.39 (  0.69)
Epoch: [0][ 780/3615]	Time  6.717 ( 2.902)	Data  6.681 ( 2.849)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.39 (  0.69)
Epoch: [0][ 790/3615]	Time  1.784 ( 2.902)	Data  1.748 ( 2.850)	Loss 6.9056e+00 (6.9081e+00)	Acc@1   0.39 (  0.14)	Acc@5   0.78 (  0.69)
Epoch: [0][ 800/3615]	Time  7.437 ( 2.906)	Data  7.399 ( 2.854)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.78 (  0.69)
Epoch: [0][ 810/3615]	Time  2.034 ( 2.901)	Data  1.998 ( 2.849)	Loss 6.9056e+00 (6.9081e+00)	Acc@1   0.39 (  0.14)	Acc@5   0.39 (  0.69)
Epoch: [0][ 820/3615]	Time  5.541 ( 2.904)	Data  5.503 ( 2.852)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.14)	Acc@5   1.17 (  0.69)
Epoch: [0][ 830/3615]	Time  2.118 ( 2.898)	Data  2.080 ( 2.846)	Loss 6.9095e+00 (6.9080e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.78 (  0.69)
Epoch: [0][ 840/3615]	Time  2.802 ( 2.900)	Data  2.765 ( 2.848)	Loss 6.9095e+00 (6.9080e+00)	Acc@1   0.00 (  0.14)	Acc@5   1.95 (  0.69)
Epoch: [0][ 850/3615]	Time  1.775 ( 2.898)	Data  1.738 ( 2.846)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.14)	Acc@5   1.17 (  0.69)
Epoch: [0][ 860/3615]	Time  2.476 ( 2.899)	Data  2.439 ( 2.848)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.14)	Acc@5   1.95 (  0.69)
Epoch: [0][ 870/3615]	Time  3.627 ( 2.898)	Data  3.586 ( 2.847)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.14)	Acc@5   1.17 (  0.69)
Epoch: [0][ 880/3615]	Time  1.375 ( 2.899)	Data  1.337 ( 2.848)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.39 (  0.69)
Epoch: [0][ 890/3615]	Time  3.518 ( 2.900)	Data  3.480 ( 2.849)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.39 (  0.69)
Epoch: [0][ 900/3615]	Time  0.612 ( 2.900)	Data  0.574 ( 2.849)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.39 (  0.69)
Epoch: [0][ 910/3615]	Time  3.523 ( 2.902)	Data  3.485 ( 2.851)	Loss 6.9017e+00 (6.9080e+00)	Acc@1   0.78 (  0.14)	Acc@5   1.95 (  0.69)
Epoch: [0][ 920/3615]	Time  1.102 ( 2.900)	Data  1.064 ( 2.850)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.39 (  0.68)
Epoch: [0][ 930/3615]	Time  4.242 ( 2.902)	Data  4.204 ( 2.851)	Loss 6.9056e+00 (6.9080e+00)	Acc@1   0.39 (  0.14)	Acc@5   0.78 (  0.68)
Epoch: [0][ 940/3615]	Time  1.190 ( 2.901)	Data  1.153 ( 2.851)	Loss 6.9095e+00 (6.9080e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.78 (  0.68)
Epoch: [0][ 950/3615]	Time  3.624 ( 2.902)	Data  3.586 ( 2.851)	Loss 6.9095e+00 (6.9080e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.39 (  0.69)
Epoch: [0][ 960/3615]	Time  0.073 ( 2.902)	Data  0.000 ( 2.852)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.78 (  0.69)
Epoch: [0][ 970/3615]	Time  4.371 ( 2.902)	Data  4.332 ( 2.852)	Loss 6.9095e+00 (6.9080e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.39 (  0.69)
Epoch: [0][ 980/3615]	Time  0.121 ( 2.901)	Data  0.084 ( 2.851)	Loss 6.9056e+00 (6.9080e+00)	Acc@1   0.39 (  0.14)	Acc@5   0.39 (  0.69)
Epoch: [0][ 990/3615]	Time  5.218 ( 2.902)	Data  5.181 ( 2.852)	Loss 6.9095e+00 (6.9080e+00)	Acc@1   0.00 (  0.14)	Acc@5   1.17 (  0.69)
Epoch: [0][1000/3615]	Time  0.071 ( 2.899)	Data  0.000 ( 2.850)	Loss 6.9095e+00 (6.9080e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.00 (  0.69)
Epoch: [0][1010/3615]	Time  5.568 ( 2.900)	Data  5.522 ( 2.851)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.39 (  0.69)
Epoch: [0][1020/3615]	Time  2.221 ( 2.899)	Data  2.184 ( 2.850)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.78 (  0.69)
Epoch: [0][1030/3615]	Time  7.680 ( 2.901)	Data  7.643 ( 2.852)	Loss 6.9056e+00 (6.9081e+00)	Acc@1   0.39 (  0.14)	Acc@5   0.78 (  0.69)
Epoch: [0][1040/3615]	Time  0.961 ( 2.899)	Data  0.924 ( 2.850)	Loss 6.9095e+00 (6.9080e+00)	Acc@1   0.00 (  0.14)	Acc@5   1.17 (  0.69)
Epoch: [0][1050/3615]	Time  6.397 ( 2.900)	Data  6.359 ( 2.851)	Loss 6.9095e+00 (6.9080e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.78 (  0.69)
Epoch: [0][1060/3615]	Time  1.760 ( 2.900)	Data  1.722 ( 2.851)	Loss 6.9017e+00 (6.9080e+00)	Acc@1   0.78 (  0.14)	Acc@5   0.78 (  0.69)
Epoch: [0][1070/3615]	Time  5.340 ( 2.900)	Data  5.303 ( 2.850)	Loss 6.9095e+00 (6.9080e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.39 (  0.69)
Epoch: [0][1080/3615]	Time  1.219 ( 2.899)	Data  1.181 ( 2.850)	Loss 6.9095e+00 (6.9080e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.39 (  0.69)
Epoch: [0][1090/3615]	Time  5.909 ( 2.899)	Data  5.872 ( 2.850)	Loss 6.9056e+00 (6.9080e+00)	Acc@1   0.39 (  0.14)	Acc@5   0.39 (  0.69)
Epoch: [0][1100/3615]	Time  0.866 ( 2.899)	Data  0.830 ( 2.850)	Loss 6.9095e+00 (6.9081e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.39 (  0.69)
Epoch: [0][1110/3615]	Time  7.154 ( 2.900)	Data  7.117 ( 2.851)	Loss 6.9095e+00 (6.9080e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.78 (  0.69)
Epoch: [0][1120/3615]	Time  0.075 ( 2.899)	Data  0.000 ( 2.850)	Loss 6.9056e+00 (6.9080e+00)	Acc@1   0.39 (  0.14)	Acc@5   0.78 (  0.69)
Epoch: [0][1130/3615]	Time  7.167 ( 2.902)	Data  7.131 ( 2.853)	Loss 6.9095e+00 (6.9080e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.00 (  0.69)
Epoch: [0][1140/3615]	Time  0.072 ( 2.901)	Data  0.000 ( 2.852)	Loss 6.9056e+00 (6.9080e+00)	Acc@1   0.39 (  0.14)	Acc@5   0.39 (  0.69)
Epoch: [0][1150/3615]	Time  6.908 ( 2.903)	Data  6.871 ( 2.855)	Loss 6.9095e+00 (6.9080e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.78 (  0.69)
Epoch: [0][1160/3615]	Time  0.071 ( 2.903)	Data  0.000 ( 2.854)	Loss 6.9095e+00 (6.9080e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.00 (  0.69)
Epoch: [0][1170/3615]	Time  6.301 ( 2.903)	Data  6.263 ( 2.854)	Loss 6.9095e+00 (6.9080e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.39 (  0.69)
Epoch: [0][1180/3615]	Time  0.072 ( 2.903)	Data  0.000 ( 2.854)	Loss 6.9095e+00 (6.9080e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.78 (  0.69)
Epoch: [0][1190/3615]	Time  6.530 ( 2.903)	Data  6.493 ( 2.854)	Loss 6.9056e+00 (6.9080e+00)	Acc@1   0.39 (  0.14)	Acc@5   0.39 (  0.69)
Epoch: [0][1200/3615]	Time  0.072 ( 2.902)	Data  0.000 ( 2.853)	Loss 6.9056e+00 (6.9080e+00)	Acc@1   0.39 (  0.14)	Acc@5   0.39 (  0.69)
Epoch: [0][1210/3615]	Time  6.632 ( 2.902)	Data  6.595 ( 2.853)	Loss 6.9095e+00 (6.9080e+00)	Acc@1   0.00 (  0.15)	Acc@5   0.00 (  0.69)
Epoch: [0][1220/3615]	Time  0.080 ( 2.901)	Data  0.000 ( 2.852)	Loss 6.9095e+00 (6.9080e+00)	Acc@1   0.00 (  0.14)	Acc@5   1.56 (  0.69)
Epoch: [0][1230/3615]	Time  6.078 ( 2.902)	Data  6.040 ( 2.853)	Loss 6.9095e+00 (6.9080e+00)	Acc@1   0.00 (  0.14)	Acc@5   1.17 (  0.69)
Epoch: [0][1240/3615]	Time  0.074 ( 2.899)	Data  0.000 ( 2.850)	Loss 6.9095e+00 (6.9080e+00)	Acc@1   0.00 (  0.14)	Acc@5   1.17 (  0.70)
Epoch: [0][1250/3615]	Time  6.032 ( 2.902)	Data  5.995 ( 2.853)	Loss 6.9095e+00 (6.9080e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.00 (  0.69)
Epoch: [0][1260/3615]	Time  0.063 ( 2.899)	Data  0.000 ( 2.850)	Loss 6.9095e+00 (6.9080e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.78 (  0.70)
Epoch: [0][1270/3615]	Time  5.099 ( 2.903)	Data  5.063 ( 2.854)	Loss 6.9095e+00 (6.9080e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.78 (  0.70)
Epoch: [0][1280/3615]	Time  0.071 ( 2.900)	Data  0.000 ( 2.851)	Loss 6.9095e+00 (6.9080e+00)	Acc@1   0.00 (  0.14)	Acc@5   1.17 (  0.70)
Epoch: [0][1290/3615]	Time  6.573 ( 2.904)	Data  6.535 ( 2.855)	Loss 6.9056e+00 (6.9080e+00)	Acc@1   0.39 (  0.14)	Acc@5   1.17 (  0.70)
Epoch: [0][1300/3615]	Time  0.074 ( 2.902)	Data  0.000 ( 2.853)	Loss 6.9095e+00 (6.9080e+00)	Acc@1   0.00 (  0.14)	Acc@5   0.00 (  0.70)
